,word,x,y,z
0,raining,7.36897332866,3.66671940575,1.04602679538
1,yellow,3.8020080572,-1.96790784298,1.05054642016
2,four,-1.17599591949,-2.72938577787,-0.942213163862
3,woods,1.0839497819,7.81998677038,-2.58240086645
4,hanging,7.4473247367,-1.22820653573,3.99764003816
5,looking,-0.0369254780345,0.0805832692343,-0.189686861631
6,granting,3.47672731187,5.73366218948,-3.93470644245
7,eligible,0.675134982189,5.18921332482,0.754487026317
8,Kundadahara,8.9826898328,0.808155319986,3.80745700127
9,lord,-2.92270944155,3.50739076134,-4.2617000817
10,sinking,5.14949642105,1.46009237455,3.93768201068
11,rashly,3.24494300112,8.21466131291,2.47010744691
12,oceans,6.26075486653,-1.76191479628,2.72756995654
13,bringing,0.565225795733,-0.84245745867,1.03092982716
14,wooded,7.0407224484,4.31794704281,1.06483042098
15,uttering,-1.27754271373,5.00574028805,-1.71289648402
16,succession,6.17891870119,-0.794324293142,1.31853416964
17,sannyasi,-0.102392589998,2.80881458942,-4.5796809529
18,tired,2.76872645181,-3.20032589112,0.83663303439
19,sannyasa,-0.663567864705,3.77960759621,1.97800967695
20,elegant,4.83123951623,2.38955892928,0.185628434412
21,second,-0.665686553858,1.50027423252,-1.96559842546
22,valiant,-1.10806558144,1.12964867964,0.709972438517
23,Madhusudana,-1.48317867961,7.23721196333,-4.6687664096
24,thunder,3.2546097756,-3.24973132884,-0.694058489467
25,cooking,6.36629692593,6.86531951267,-0.903518848141
26,fingers,2.56921374838,-1.2152491723,0.542789440285
27,hero,-6.43160003514,-1.15443143251,0.269399262927
28,offenses,2.16620510966,1.62494233917,4.52123973152
29,here,-4.73037736457,4.77348494237,1.89698922204
30,herd,6.08468220854,-2.13833275803,2.53403888594
31,strewn,6.97000006331,-1.27564735624,4.52939506456
32,climbed,7.16425543517,0.22567174401,4.33521741667
33,natures,0.709134937686,7.09951522093,0.938837782987
34,military,3.42367626524,1.405516627,-0.917965616324
35,golden,0.538011166229,-4.88818196752,-1.97760468784
36,classification,4.92431619854,7.094118572,-0.961102480714
37,explained,-4.82454430501,0.156912519301,5.41970041294
38,Three,8.73901056908,1.68502853651,-2.95112468432
39,brought,-4.56400275925,0.097181253621,5.22170723678
40,remnant,-1.07733308083,1.12154452428,0.826255588004
41,opponents,4.30049329999,2.79931765108,-2.48755561156
42,cheating,2.06772898293,3.25737646875,1.59373698193
43,spoke,-3.40155563778,3.70728237668,-2.32883230107
44,cannibal,2.98536522056,7.45257286668,-4.49987487872
45,music,4.08987111105,1.36360961426,1.66814216956
46,therefore,4.72776906549,-0.463197964859,-1.11561412214
47,mystic,4.10294920974,-1.29438222438,0.798696031666
48,strike,-5.26722259209,0.107262121621,-5.03192084911
49,until,5.21514519201,0.602443367047,-3.87075328335
50,holy,2.05131417914,-1.15352419171,-4.03245955236
51,successful,4.09510421774,4.33896537688,3.53854237054
52,brings,3.8188063043,6.12438117225,-0.840253750586
53,whirling,1.10237955461,-3.04770351026,1.07443558218
54,hurt,5.40859440159,5.13091728362,3.11763656993
55,Person,2.03869962613,-0.61665193517,-4.81102132232
56,primeval,0.751036034679,0.233593047509,-3.05818048247
57,hold,-1.94603199857,-2.50262387916,6.05226707665
58,circumstances,0.558725232186,-0.12805620216,4.78201958873
59,famed,-0.447729771762,4.50650261669,-2.80419681228
60,plunged,-0.849572383994,6.13818877563,-1.5962160164
61,Meru,4.81545734015,5.30776094616,-0.736834384922
62,leaped,8.65804731336,0.408085602373,1.91210630277
63,example,-2.60622620744,2.81481417479,2.17032532156
64,household,4.02568524006,-0.232166838961,1.54630424356
65,organized,6.97145851664,1.81178318333,4.57794244033
66,Aindra,1.66922773436,-1.50964884668,-0.397987527209
67,kingdoms,1.68840991877,2.99369473779,-2.33250726859
68,want,5.25738427711,-0.674648842002,-2.71993496404
69,absolute,4.41409818126,-2.38549729076,5.91158805202
70,travel,4.56517122462,1.28955326876,-2.76584178464
71,feature,1.43598167914,7.33571933715,2.96622273753
72,how,-3.72125921119,7.67231605461,0.271118001543
73,hot,3.49766858922,-3.01417245266,-1.3221710942
74,preferable,5.1315770871,7.19240712336,-1.27244766261
75,A,5.50162766893,-5.20231755383,4.0000718898
76,beauty,2.13742358676,2.19799164499,-5.17088805658
77,minimized,1.89716603718,6.63512866854,0.255292187139
78,despondent,3.23448914236,3.8850381861,-2.6221861814
79,wrong,-1.14996628583,-1.61090124043,-4.58340118032
80,destined,6.30810960117,-2.8112355707,-2.24891482759
81,types,2.05344168179,1.85596854854,0.379315976336
82,youths,3.05643535074,7.44489750462,-2.86217481345
83,unlawfully,5.3175712382,7.27182630481,-1.2423745654
84,Another,0.711130969873,6.22132599001,-1.28325044154
85,keeps,1.26629279404,7.90077873341,0.105737607642
86,wing,0.933446280262,-0.729775655619,1.79220360116
87,wind,1.98780865908,-4.47755538803,-2.29309431851
88,wine,4.7158185966,3.20385870652,-2.73627258142
89,blind,-1.04812447687,5.33786924325,-5.37554691009
90,Bhagavad,3.0805301803,-1.37033039115,-3.93826295079
91,rewarded,0.736770092797,4.63101063933,-3.19093204316
92,His,2.72045674231,-2.98218906081,-6.5268232292
93,lovingly,-1.14998492916,1.83623689876,-4.25670360551
94,fit,4.32440347235,-0.534330058587,-0.255478301376
95,screaming,-0.604432817965,-3.18414992158,5.18781664277
96,fix,4.86773355089,-1.79341379374,5.87286135572
97,matured,3.33628997954,7.11922429225,-2.73894955598
98,endeavoring,-2.50942597475,3.99232029249,0.262419355129
99,Pitris,-0.2673768832,10.2971423958,1.55971107731
