,word,x,y,z
9,Flavor,-4.54527682321,1.89887518663,16.8347925071
22,Thomas,4.84445383124,-8.36799160397,13.0405978141
25,Go,-8.17284560565,-10.1389455778,-5.17900485925
30,Weasley,11.586674413,-18.0937857845,6.79320181169
39,Algie,-4.33841443038,-0.472872436503,-3.14773855649
45,Put,7.32583651613,1.80728849122,2.9846212598
49,Neville,-6.26688727275,6.20550422858,-4.58962228518
65,NOT,-7.04047485625,2.9867693738,0.814154893848
66,Spells,8.22174076203,2.30993642029,5.5231373736
71,Three,16.0874713166,11.3354847454,6.26444604881
73,Behind,8.53824208775,3.2341425035,4.04423896503
74,HOGWARTS,-7.51696557457,6.2399541989,3.37907759656
80,Ronald,8.65692668606,5.64120832156,7.30955777239
86,Stay,9.39872300493,-8.7606581465,1.25038902603
87,Vernon,10.1308879364,0.476601224104,-0.197453421694
101,Quaffle,3.05319846883,5.92983901394,-4.42432284365
118,Quidditch,-2.22284177773,-9.3254787934,-3.20537808291
121,Wizard,-13.2475962027,0.701957018648,5.68505730763
123,Wizards,-10.5886419817,1.09409305333,-0.0957727141633
126,Lord,-4.40341862967,-11.3806904807,-12.2236779657
129,Figg,9.20404915611,8.7779774065,0.0109101598086
135,Jordan,-5.61686124438,13.6985277056,5.46263428966
140,A,-2.48357240176,0.420277621093,-11.1898282278
142,Dedalus,-8.00931903589,-1.71171564078,0.592104819369
147,Will,9.88614867761,-8.68980612506,0.323830132455
154,All,9.07790948611,-10.0565878561,-8.56146117444
164,Even,-3.34591625597,-13.8680912779,-1.56891061518
170,Told,-2.84508668446,-6.84064087635,6.21511886226
203,Curse,-13.4375727326,-6.99411194533,6.2872472689
204,Midnight,-4.67767131304,-3.88555400815,13.2638932483
206,Anyone,11.1560063447,-8.74092276189,-0.311436084764
219,Must,3.27291525069,9.69681898349,16.3685172277
233,September,-10.3257722499,3.25710017243,2.10440656512
237,Mirror,12.9687832865,-2.2329581664,-8.21748269944
241,Nicolas,6.83067602174,-11.5302008694,-7.05415251597
244,Please,3.68354530106,5.29266803655,9.37344625653
255,Uncle,10.0599091842,-0.390074235966,-0.0214915078204
263,B,1.19439298811,9.33543942039,6.61063565122
276,See,0.593771561192,-11.8254944453,-5.33511140235
283,Crockford,-6.79140087165,3.69678615289,0.0736840662703
300,Bane,-1.81334339894,-6.53526832225,-2.4385395605
311,Ollivanders,4.8537645305,9.59239777198,6.55612598674
312,Side,0.795175995374,-9.4029856776,9.27154580624
319,Want,-1.62687216179,-4.54498703572,11.5138763845
333,Fred,10.9879578557,-3.43677507621,7.77926199959
336,Snitch,-5.81633148544,16.6852786193,4.94048891513
346,Quick,-6.83507933003,-3.87706796048,10.8803800925
349,Nah,-6.36054121255,-12.1514624431,-13.469065056
382,Galleons,-9.63088503509,-3.74117779286,5.33156312319
386,Doris,-9.48863461566,-0.145844235315,1.26792350781
403,Muggle,9.75316563224,-19.5929873069,10.4010511466
405,Sorry,-12.7211532961,2.25209806438,4.00302449695
439,Follow,10.3739261058,-7.96764761049,-0.918359475862
441,Tuesday,5.46961367074,-7.98137673007,11.3088452688
451,Tell,-8.27326042287,-11.7380459478,-12.6840780158
457,Stop,8.4010609868,-8.09000022347,0.760848744128
459,Snape,3.88717679786,-9.48164230312,-3.16668619227
466,Maybe,-12.9760969391,-7.18577003815,6.36773060784
467,Potters,10.8066042926,-18.5178897239,10.8083814979
476,Owls,-0.244932209608,-2.99329404979,10.6207240808
477,Ollivander,-5.54508507682,12.3994884594,2.77510865465
478,Mind,-3.46486284113,-8.19633603687,7.17320129982
488,Thank,-6.09351045237,-4.28402053216,12.0918616532
499,Herbs,-16.4417997485,1.64383490787,-4.39071509975
504,Flint,1.53453826736,5.63712671032,-1.27918093266
511,D,6.43732744823,-10.4368659278,-6.41035835733
513,James,-7.45772610046,-5.08084268219,6.7550020726
519,Piers,-4.44351244723,8.2890276636,-7.46522210856
522,Frogs,-3.94112057291,6.1327726219,8.12565878977
528,Gryffindors,8.16716533515,10.2952277754,3.94265611319
541,Life,-11.1484274977,0.935006522614,-0.898628750202
542,Lee,15.2669524207,13.0775338314,3.187473666
546,Nobody,11.488986518,-10.2574491571,0.770077909175
551,Let,0.693075001731,-11.4620346054,-5.08922496144
554,Dunno,-4.03999927323,-13.277310725,-11.4804850455
555,Daily,-8.53776089804,1.00023660239,0.793336951457
558,Gran,-3.95792488655,-10.0721703414,-11.7907960819
561,First,-9.14939051597,-6.02456867018,5.49521476928
571,Best,2.72357630107,10.9237483229,9.97579915435
574,Make,6.07827308303,5.48735555221,5.90207868574
586,Hang,-2.35073430153,-6.23156688132,12.3283890618
588,Firenze,-3.0995889511,-13.1058429815,-2.25889130649
607,Vol,6.19707746877,-10.2642221639,-6.29781674509
628,Ministry,-0.617862223844,1.1130368508,-2.56079150724
637,Smeltings,-8.58140116824,7.48308841536,1.03049405427
642,Drive,4.56810191363,12.1706791248,-5.0234897375
662,Bye,-6.21431098296,-3.94481546897,12.5267145911
664,Dad,-6.00947305123,-4.30999307853,12.6456036917
676,Anything,1.96880601057,-0.549230213352,9.13903244472
679,Wands,10.8731642959,2.61851436704,3.93264960597
683,Where,7.11593359041,-11.1515945428,-6.57134240991
686,Tap,-7.70703406096,-5.73665995226,10.4313273265
687,Just,11.4722417744,-20.0269687665,7.39872700416
